"DONOR","RECIPIENT","SECTOR","FLOW","CHANNEL","AMOUNTTYPE","FLOWTYPE","AIDTYPE","YEAR","Donor Name","Donor Agency","OECD ID","Donor Project ID","Recipient Name","Region","Income Group","Channel of Delivery Code","Channel of Delivery Name","Category Code","Category Name","FinanceType Code","FinanceType Name","BiMulti Code","Type of Aid Code","Type of Aid Name","Short Description","Project title","Purpose Code","Purpose Name","Sector","Long Description","SDG Focus","Gender equality","Environment","PDGG","Trade Development","RMNCH","DRR","Nutrition","Disability","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Amount","Amount Type","Amount Tied USD million","Amount Untied USD million","Amount Partially Untied USD million","Nature of Submission","Value"
"5","9998","31320","11","50000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021006615","202006005-5245","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROGRAMME TO SUPPORT THE PROMOTION OF DEVELOPMENT PROJECTS BY PRIVATE GERMAN ORGANISATIONS FROM 2020-2023 - BENGO","Programme to support the Promotion of Development Projects by private German Organisations from 2020-2023 - bengo","31320","Fishery development","III.1.c. Fishing","Programme to support the Promotion of Development Projects by private German Organisations from 2020-2023 - bengo","16;14","1","1","2","","0","","","","1","0","1","0",".183575","Current Prices (USD millions)",".000000",".000000","","3","0.183575"
"5","228","31194","11","50000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021006195","201906015-4228","Burundi","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVING LIVING CONDITIONS OF THE RURAL POPULATION IN THE MUNICIPALITIES OF RUHORORO AND BUHINYUZA THROUGH CAPACITY BUILDING AND EMPOWERMENT","Improving living conditions of the rural population in the municipalities of Ruhororo and Buhinyuza through capacity building and empowerment","31194","Agricultural co-operatives","III.1.a. Agriculture","The goal is to enable german NGOs and their local partners to implement development projects.","8;2","0","0","0","","0","","","","0","0","0","0",".017509","Current Prices (USD millions)",".000000",".000000","","3","0.017509"
"5","228","31220","11","50000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021006078","201898329-4394","Burundi","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","INTEGRATED APPROACH TO SUSTAINABLE RESOURCE PROTECTION THROUGH THE CREATION OF ECONOMIC OPPORTUNITIES IN 'GREEN ECONOMY' WITH SPECIAL FOCUS IN BURUNDI","Integrated approach to sustainable resource protection through the creation of economic opportunities in 'green economy' with special focus in Burundi","31220","Forestry development","III.1.b. Forestry","Integrated approach to sustainable resource protection through the creation of economic opportunities in the 'green economy' with a special focus in Burundi","15;13","1","1","0","","0","","","","0","1","1","0",".517384","Current Prices (USD millions)",".000000",".000000","","3","0.517384"
"5","218","11230","11","50000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021006204","201906015-4250","South Africa","South of Sahara","UMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROTECTION OF THE EDUCATION AND VOCATIONAL TRAINING OF ORPHANED YOUNG PEOPLE IN THE TOWNSHIP KHAYELITSHA NEAR CAPE TOWN","Protection of the education and vocational training of orphaned young people in the township Khayelitsha near Cape Town","11230","Basic life skills for adults","I.1.b. Basic Education","Protection of the education and vocational training of orphaned young people in the township Khayelitsha near Cape Town who have to leave the home at the age of 18.","4;10;1","1","1","0","","0","","","","0","0","1","0",".003628","Current Prices (USD millions)",".000000",".000000","","3","0.003628"
"5","236","31161","11","20000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021004208","202039857","Benin","South of Sahara","LDCs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVING FOOD SECURITY THROUGH MULTIFUNCTIONAL FAMILY GARDENS","Improving food security through multifunctional family gardens","31161","Food crop production","III.1.a. Agriculture","Improving food security through multifunctional family gardens, Benin","2;16;13;10;1","1","0","2","","1","","","","1","0","2","1",".335383","Current Prices (USD millions)",".000000",".000000","","3","0.335383"
"5","9998","12250","11","50000","A","112","B01","2021","Germany","City State of Hamburg","2021012261","","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BERNHARD-NOCHT-INSTITUTE FOR TROPICAL MEDICINE (BNITM)","Bernhard-Nocht-Institute for Tropical Medicine (BNITM)","12250","Infectious disease control","I.2.b. Basic Health","Research, teaching, training and further education as well as consulting and health care in the fields of infectious and tropical medicine. The BNITM ist Germany's largest institution for research, treatment and training in the field of tropical diseases and new emerging infections. As a member of the Leibniz-Association and as a research institute of national importance, the Institute is jointly funded by the Federal Government, the Free and Hanseatic City of Hamburg and the other federal states. Research topics include clinical studies, epidemiology and disease control as well as the biology of pathogens, their reservoirs and vectors. The current scientific focus is on malaria, haemorragic fever viruses, immunology, epidemiology and clinical studies of tropical infections as well as the optimization of control measures against tropical infectious diseases in resource-poor countries and the mechanisms of virus transmission by mosquitoes. For the handling of highly pathogenic viruses and infected insects, the Institute has laboratories of the highest biosafety level (BSL-4) and a BSL-3 insectary. The Institute's health care services include specific laboratory diagnostics of tropical diseases and other rare infections, capacity building as well as the consultation of the scientific community, politics and the general public, which essentially contribute to the Institute's national reputation. The Institute has been appointed by the Federal Ministery of Health as the National Reference Center (NRC) for the detection of all tropical pathogens as well as by the WHO as Collaborating Center for arboviruses and haemorrhagic fever viruses. In collaboration with the Ghanaian Health Ministery and the University of Kumasi the Institute has been operating a modern research and training center in the West-African rain forest for over twentyfive years, which is availableto external research groups. The teaching activities comprise a three months full-time course on all aspects of tropical medicine for physicans as well as a training program for PhD students at the Institute and a number of activities on continuing education in topics related to travel medicine and international health. Numerous scientists of the Institute are involved in student teaching as appointed professors of the University and the University Hospital of Hamburg.","3.b;3.3","0","0","","","1","","","","0","0","0","0","7.568350","Current Prices (USD millions)",".000000","7.568400","","8","7.56835"
"5","9998","12250","11","50000","A","112","B01","2021","Germany","Federal Ministry of Health","2021009877","","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BERNHARD-NOCHT INSTITUTE FOR TROPICAL MEDICINE (BNITM)","Bernhard-Nocht Institute for Tropical Medicine (BNITM)","12250","Infectious disease control","I.2.b. Basic Health","Research, teaching, training and further education as well as consulting and health care in the fields of infectious and tropical medicine. The BNITM is Germany's largest institution for research, treatment and training in the field of tropical diseases and new emerging infections. As a member of the Leibniz-Association and as a research institute of national importance, the Institute is jointly funded by the Federal Government, the Free and Hanseatic City of Hamburg and the other federal states. Research topics include clinical studies, epidemiology and disease control as well as the biology of pathogens, their reservoirs and vectors. The current scientific focus is on malaria, haemorrhagic fever viruses, immunology, epidemiology and clinical studies of tropical infections as well as the optimization of control measures against tropical infectious diseases in resource-poor countries and the mechanisms of virus transmission by mosquitoes. For the handling of highly pathogenic viruses and infected insects, the Institute has laboratories of the highest biosafety level (BSL-4) and a BSL-3 insectary. The Institute's health care services include specific laboratory diagnostics of tropical diseases and other rare infections, capacity building as well as the consultation of the scientific community, politics and the general public, which essentially contribute to the Institute's national reputation. The Institute has been appointed by the Federal Ministry of Health as the National Reference Center (NRC) for the detection of all tropical pathogens as well as by the WHO as Collaborating Center for arboviruses and haemorrhagic fever viruses. In collaboration with the Ghanaian Health Ministry and the University of Kumasi the Institute has been operating a modern research and training center in the West-African rain forest for over twentyfive years, which is also available to external research groups. The teaching activities comprise a three months full-time course on all aspects of tropical medicine for physicians as well as a training program for PhD students at the Institute and a number of activities on continuing education in topics related to travel medicine and international health. Numerous scientists of the Institute are involved in student teaching as appointed professors of the University and the University Hospital of Hamburg.","3.b;3.3","0","0","0","","1","","","","0","0","0","0","12.716341","Current Prices (USD millions)",".000000","12.716300","","8","12.716341"
"5","218","16050","11","20000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021004132","202033819","South Africa","South of Sahara","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SUPPORT FOR DISADVANTAGED YOUNG PEOPLE AND THEIR FAMILIES IN THE SUBURBS OF CAPE TOWN, SOUTH AFRICA","Support for disadvantaged young people and their families in the suburbs of Cape Town, South Africa","16050","Multisector aid for basic social services","I.6. Other Social Infrastructure & Services","Support for disadvantaged young people and their families in the suburbs of Cape Town, South Africa","10;1","1","0","0","","0","","","","0","0","0","0",".049018","Current Prices (USD millions)",".000000",".000000","","3","0.049018"
"5","232","11430","11","20000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021002113","201833292","Chad","South of Sahara","LDCs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROMOTING CIVIC PARTICIPATION THROUGH LEADERSHIP TRAINING","Promoting civic participation through leadership training","11430","Advanced technical and managerial training","I.1.d. Post-Secondary Education","Promoting civic participation through leadership training","4;16","1","0","2","","0","","","","0","0","0","0",".021434","Current Prices (USD millions)",".000000",".000000","","3","0.021434"
"5","232","15160","11","20000","A","112","B01","2021","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2021002969","201932755","Chad","South of Sahara","LDCs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROTECTING CHILDREN FROM VIOLENCE IN MANDOUL AND OUADDAI PROVINCES, CHAD","Protecting children from violence in Mandoul and Ouaddai provinces, Chad","15160","Human rights","I.5.a. Government & Civil Society-general","Protecting children from violence in Mandoul and Ouaddai provinces, Chad","16;10;1","1","0","2","","1","","","","0","0","0","0",".007125","Current Prices (USD millions)",".000000",".000000","","3","0.007125"
