"DONOR","RECIPIENT","SECTOR","FLOW","CHANNEL","AMOUNTTYPE","FLOWTYPE","AIDTYPE","YEAR","Donor Name","Donor Agency","OECD ID","Donor Project ID","Recipient Name","Region","Income Group","Channel of Delivery Code","Channel of Delivery Name","Category Code","Category Name","FinanceType Code","FinanceType Name","BiMulti Code","Type of Aid Code","Type of Aid Name","Short Description","Project title","Purpose Code","Purpose Name","Sector","Long Description","SDG Focus","Gender equality","Environment","PDGG","Trade Development","RMNCH","DRR","Nutrition","Disability","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Amount","Amount Type","Amount Tied USD million","Amount Untied USD million","Amount Partially Untied USD million","Nature of Submission","Value"
"5","189","24030","19","30000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017137062","201736529","North of Sahara, regional","North of Sahara","Part I unallocated by income","30000","SANAD Fund for Micro, Small and Medium Enterprises","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SANAD FUND FOR MSME","SANAD Fund for MSME","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","SANAD Fund for micro, small and medium-sized enterprises","","1","0","0","1","0","","","","0","0","0","0","6.763612","Current Prices (USD millions)",".000000","6.763600","","8","6.763612"
"5","189","24030","19","30000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017139177","201736628","North of Sahara, regional","North of Sahara","Part I unallocated by income","30000","SANAD Fund for Micro, Small and Medium Enterprises","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","MENA REGIONAL FUND FOR MSME FINANCING VI (SANAD)","MENA Regional Fund for MSME Financing VI (SANAD)","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","Middle East and Northen Africa Regional Fund for micro, small and medium-sized enterprises Financing VI (SANAD)","","0","0","0","1","0","","","","0","0","0","0","11.272686","Current Prices (USD millions)",".000000","11.272700","","8","11.272686"
"5","252","43040","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006995","201706019_0147","Madagascar","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVEMENT OF THE LIVING CONDITIONS OF THE POPULATION LIVING AROUND THE NATIONAL PARK BEFOTAKA MIDOGNY AS CONTRIBUTION TO FOOD AND NUTRITION SECURITY","Improvement of the living conditions of the population living around the national park Befotaka Midogny as contribution to food and nutrition security","43040","Rural development","IV.2. Other Multisector","Improvement of the living conditions of the population living around the national park Befotaka Midogny as contribution to food and nutrition security and environmental protection in the South East","","1","1","0","","0","","","","0","0","1","0",".904069","Current Prices (USD millions)",".000000","2.029100","","1","0.904069"
"5","252","43040","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006701","201606003_0066","Madagascar","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","VILLAGE DEVELOPMENT IN ANDALAMENGOKE, SOUTH-WESTERN PART OF MADAGASCAR","Village Development in Andalamengoke, south-western part of Madagascar","43040","Rural development","IV.2. Other Multisector","Village Development in Andalamengoke, south-western part of Madagascar","","1","1","0","","0","","","","0","1","1","0",".034527","Current Prices (USD millions)",".000000",".000000","","3","0.034527"
"5","93","25010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017001774","201010198","Moldova","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","VTP LOCAL COUNCIL OF SKILLED CRAFTS SMALL BUSINESS HERSFELD-ROTENBURG, CHAMBER OF INDUSTRY AND COMMERCE MOLDOVA IN THE REPUBLIC OF MOLDOVA","VTP Local Council of Skilled Crafts Small Business Hersfeld-Rotenburg, Chamber of Industry and Commerce Moldova in the Republic of Moldova","25010","Business policy and administration","II.5. Business & Other Services","Moldovan companies have improved sustainable ways to meet their needs for skilled workers in the craft sector","","0","0","0","2","0","","","","0","0","0","0",".086800","Current Prices (USD millions)",".000000",".000000","","3","0.0868"
"5","85","23110","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006855","201706019_0007","Ukraine","Europe","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SUPPORTING STRUCTURAL CHANGE IN THE DONBASS CONFLICT REGION (UKRAINE) THROUGH A MULTI-ACTOR PARTNERSHIP","Supporting Structural Change in the Donbass Conflict Region (Ukraine) Through a Multi-Actor Partnership","23110","Energy policy and administrative management","II.3.a. Energy Policy","Supporting Structural Change in the Donbass Conflict Region (Ukraine) Through a Multi-Actor Partnership","","0","1","1","","0","","","","0","1","1","0",".068367","Current Prices (USD millions)",".000000",".514500","","1","0.068367"
"5","289","43040","11","50000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017007165","201706019_0317","South of Sahara, regional","South of Sahara","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PILOT GLOBAL PROGRAMME - STRENGTHENING RESILIENCE OF AGROPASTORALIST COMMUNITIES, KENIA, UGANDA AND ETHIOPIA","Pilot global Programme - Strengthening Resilience of agropastoralist communities, Kenia, Uganda and Ethiopia","43040","Rural development","IV.2. Other Multisector","Pilot global Programme - Strengthening Resilience of agropastoralist communities, Kenia, Uganda and Ethiopia","","1","1","1","","0","","","","1","1","1","1",".450907","Current Prices (USD millions)",".000000","4.734500","","1","0.450907"
"5","71","43010","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003794","201532522","Albania","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PROMOTING CIVIC DIALOGUE AND PEACEFUL CONFLICT RESOLUTION BY STRENGTHENING SOCIAL INFRASTRUCTURE AND EDUCATION IN ALBANIA","Promoting civic dialogue and peaceful conflict resolution by strengthening social infrastructure and education in Albania","43010","Multisector aid","IV.2. Other Multisector","Promoting civic dialogue and peaceful conflict resolution by strengthening social infrastructure and education in Albania","","1","0","2","","0","","","","0","1","0","0",".411453","Current Prices (USD millions)",".000000",".000000","","3","0.411453"
"5","93","12230","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017002706","201431832","Moldova","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","EXTENSION AND RENOVATION OF A CARE AND THERAPY CENTRE FOR HANDICAPPED CHILDREN IN CHISINAU","Extension and renovation of a care and therapy centre for handicapped children in Chisinau","12230","Basic health infrastructure","I.2.b. Basic Health","Extension and renovation of a care and therapy centre for handicapped children in Chisinau","","0","0","0","","1","","","","0","0","0","0",".056400","Current Prices (USD millions)",".000000",".000000","","3","0.0564"
"5","85","15150","11","20000","A","112","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017004897","201632785","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","ENHANCING THE TEACHING CAPACITY OF UCU / LEMBERG WITH FOCUS ON PUBLIC RESPONSIBILITY AND GOOD GOVERNANCE, UKRAINE","Enhancing the teaching capacity of UCU / Lemberg with focus on public responsibility and good governance, Ukraine","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Enhancing the teaching capacity of UCU / Lemberg with focus on public responsibility and good governance, Ukraine","","1","0","2","","0","","","","0","0","0","0",".225454","Current Prices (USD millions)",".000000",".000000","","3","0.225454"
